MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
45.64, 40.25, -0.000652065, 5.39
47.2, 39.35, -0.00186205, 7.85
46.33, 49.57, 0.000217844, -3.24
48.38, 43.82, 1.87266e-05, 4.56
47.22, 37.67, -0.00035104, 9.55
47.66, 41.1, 0.00184941, 6.56
47.29, 36.82, 0.00167997, 10.47
46.51, 33.74, 0.00185289, 12.77
43.52, 40.18, 0.00204987, 3.34
38.17, 33.54, -0.000328342, 4.63
44.4, 47.74, -0.00102529, -3.34
45.37, 31.79, -0.0016678, 13.58
37.48, 29.16, -0.000535889, 8.32
30.89, 33.88, -4.39114e-05, -2.99
29.17, 32.02, 0.000677343, -2.85

Day3
30.49, 17, -1.5795e-06, 13.49
29.48, 22.71, 7.56048e-07, 6.77
28.14, 32.17, 2.02477e-06, -4.03
29.35, 16.69, -6.29214e-07, 12.66
32.18, 42.57, 5.56614e-07, -10.39
35.88, 33.51, 1.71802e-06, 2.37
40.11, 38.55, -2.24684e-06, 1.56
40.94, 61.1, 3.47509e-07, -20.16
43.41, 32.7, 3.34227e-07, 10.71
47.01, 32.31, -8.80247e-07, 14.7
46.4, 43.61, -2.51331e-06, 2.79
48.82, 32.82, 2.93885e-07, 16
52.28, 40.3, 2.53379e-08, 11.98
52.7, 36.32, -4.7391e-07, 16.38
51.29, 29.04, 2.49623e-06, 22.25
46.8, 33.12, 2.26752e-06, 13.68
45.06, 28.53, 2.50119e-06, 16.53
41, 27.4, 2.76682e-06, 13.6
37.16, 27.1, -4.43319e-07, 10.06
40.26, 30.01, -1.38397e-06, 10.25
48.25, 29.5, -2.25104e-06, 18.75
35.82, 27.19, -7.23418e-07, 8.63
32.09, 25.79, -5.92806e-08, 6.3
29.05, 27.47, 9.14361e-07, 1.58

Day4
30.91, 23.42, -5.55899e-09, 7.49
28.5, 27.54, 2.64508e-09, 0.96
27.82, 18.99, 7.12872e-09, 8.83
28.67, 23.16, -2.21881e-09, 5.51
30.74, 16.91, 1.9353e-09, 13.83
37.63, 21.11, 6.04166e-09, 16.52
38.9, 27.87, -7.88435e-09, 11.03
42.07, 29.42, 1.22303e-09, 12.65
45.89, 23.14, 1.15974e-09, 22.75
46.04, 28.26, -3.1062e-09, 17.78
47.67, 32.73, -8.81667e-09, 14.94
46.3, 35.13, 1.01047e-09, 11.17
48.27, 30.92, 9.99363e-11, 17.35
47.15, 29.11, -1.67124e-09, 18.04
46.31, 24.41, 8.75955e-09, 21.9
46.12, 27.02, 7.95042e-09, 19.1
43.13, 26.75, 8.80086e-09, 16.38
39.83, 24.02, 9.70246e-09, 15.81
37.04, 24.63, -1.56978e-09, 12.41
40.62, 26.23, -4.86524e-09, 14.39
44.73, 25.94, -7.89195e-09, 18.79
38.5, 24.74, -2.55072e-09, 13.76
32.74, 26.04, -2.06508e-10, 6.7
31.61, 27.62, 3.21644e-09, 3.99

Day5
31.69, 25.3, -4.18988e-11, 6.39
30.69, 23.19, -2.42219e-11, 7.5
29.47, 26.85, 6.07336e-11, 2.62
29.69, 25.34, -3.08579e-11, 4.35
30.13, 22.7, -5.24152e-11, 7.43
30.57, 23.41, 3.6554e-11, 7.16
34.44, 26.05, -1.20217e-12, 8.39
39.64, 26.59, 1.05303e-11, 13.05
40.9, 28.57, -3.60771e-11, 12.33
41.55, 25.69, -4.38429e-11, 15.86
41.18, 25.5, 1.02274e-11, 15.68
41.1, 24.95, -5.72679e-11, 16.15
38.63, 27.66, 2.7021e-11, 10.97
34.06, 24.82, -2.62347e-11, 9.24
32.21, 26.81, -7.73025e-12, 5.4
31.15, 29.27, -1.94215e-11, 1.88
31.48, 24.78, 6.84838e-11, 6.7
31.87, 27.93, -1.70184e-11, 3.94
30.94, 24.88, -4.25986e-11, 6.06
38.42, 32.8, -2.32296e-11, 5.62
41.2, 32.71, 2.91318e-11, 8.49
33.48, 26.22, -3.29035e-11, 7.26
29.38, 24.52, 9.15517e-13, 4.86
28.55, 24.05, 2.77791e-11, 4.5

